,data,freq
420,oplas,4
421,sana,4
422,sini,4
423,jujur,4
424,satu,4
425,kasian,4
426,abal,4
427,kere,4
428,dukun,4
429,perebut,4
430,karma,4
431,mu,4
432,sprti,4
433,hitam,4
434,putih,4
435,bawa2,4
436,ting,4
437,ceramah,4
438,terlihat,4
439,CINLOK,4
440,1,4
441,kenal,4
442,lucu,4
443,milih,4
444,percaya,4
445,masa,4
446,daripada,4
447,kador,4
448,Lo,4
449,mulan,4
450,swt,4
451,sirik,4
452,nyonyiah,4
453,jawab,4
454,sdh,4
455,tolong,4
456,sesuai,4
457,perlu,4
458,Coba,4
459,Pernah,4
460,suaminya,4
461,happy,4
462,wajahnya,4
463,dlu,4
464,hamish,4
465,Salut,4
466,Semangat,4
467,mbk,4
468,sukak,4
469,hebat,4
470,dalam,4
471,amin,4
472,Sehat,4
473,syg,4
474,Mbak,4
475,calon,4
476,slalu,4
477,Tapi,4
478,apapun,4
479,ia,4
480,nyaa,4
481,hubungan,3
482,asal,3
483,ntar,3
484,kmrn,3
485,cari,3
486,berkualitas,3
487,perasaan,3
488,jiwa,3
489,knp,3
490,ky,3
491,lakinya,3
492,para,3
493,demi,3
494,laknat,3
495,kelakuan,3
496,pd,3
497,besar,3
498,Lebih,3
499,agama,3
500,islam,3
501,saksi,3
502,emak,3
503,Udh,3
504,Situ,3
505,Kids,3
506,Jijik,3
507,MALU,3
508,lho,3
509,dijaga,3
510,zaman,3
511,Gua,3
512,ih,3
513,ribut,3
514,Mending,3
515,dek,3
516,wkwkwk,3
517,supaya,3
518,smpe,3
519,anjing,3
520,sebagai,3
521,bawa,3
522,gaya,3
523,ANJING,3
524,Jgn,3
525,marah,3
526,pemimpin,3
527,ORANG,3
528,Udah,3
529,hormat,3
530,PELAKOR,3
531,YA,3
532,GAK,3
533,Ah,3
534,dikit,3
535,kegatelan,3
536,Si,3
537,emas,3
538,Mau,3
539,istrinya,3
540,blg,3
541,surga,3
542,smoga,3
543,diluar,3
544,selamat,3
545,telah,3
546,gagal,3
547,rmh,3
548,nggak,3
549,a,3
550,status,3
551,dese,3
552,nyinyirin,3
553,parah,3
554,media,3
555,km,3
556,ampe,3
557,norak,3
558,memang,3
559,situ,3
560,maju,3
561,beda,3
562,emng,3
563,hahaha,3
564,Biar,3
565,Via,3
566,Duh,3
567,Mba,3
568,salah,3
569,kaga,3
570,foto,3
571,dn,3
572,sumpah,3
573,model,3
574,begitu,3
575,ko,3
576,mencari,3
577,tak,3
578,duit,3
579,minta,3
580,amit,3
581,mewah,3
582,japok,3
583,uda,3
584,mamad,3
585,cerita,3
586,ARTIS,3
587,AJA,3
588,NYA,3
589,DI,3
590,Kalau,3
591,Klo,3
592,bully,3
593,mecin,3
594,seolah,3
595,sma,3
596,fans,3
597,buluk,3
598,sekarang,3
599,MBA,3
600,KAN,3
601,BILANG,3
602,masyarakat,3
603,AGAMA,3
604,lakik,3
605,lainnya,3
606,naik,3
607,Kalo,3
608,bakalan,3
609,baca,3
610,jaer,3
611,bini,3
612,ibarat,3
613,ksh,3
614,Dari,3
615,BANGET,3
616,awal,3
617,dirinya,3
618,kampung,3
619,mak,3
620,beneran,3
621,Masa,3
622,kecil,3
623,gede,3
624,terkenal,3
625,saja,3
626,sombong,3
627,allah,3
628,sist,3
629,cireng,3
630,ngaku,3
631,bunmai,3
632,Tp,3
633,urusan,3
634,Jangan,3
635,pakai,3
636,pribadi,3
637,amora,3
638,ikut,3
639,KD,3
640,dengar,3
641,*,3
642,acara,3
643,segala,3
644,insya,3
645,Suka,3
646,celine,3
647,raisa,3
648,sempurna,3
649,presiden,3
650,tanpa,3
651,Bangga,3
652,hari,3
653,pun,3
654,Amin,3
655,Beruntung,3
656,sholeh,3
657,Terima,3
658,agar,3
659,bangsa,3
660,generasi,3
661,Bu,3
662,berkarya,3
663,kerja,3
664,bang,3
665,aslinya,3
666,natural,3
667,berbakat,3
668,bnr,3
669,Alhamdulillah,3
670,Kereeen,3
671,yes,3
672,anak2,3
673,neko2,3
674,cakep,3
675,menikah,3
676,samawa,3
677,salut,3
678,lagunya,3
679,protes,3
680,mami,3
681,bella,3
682,terbaik,3
683,remix,3
684,'15,3
685,pcrn,3
686,'16,3
687,bulan,3
688,Ibel,3
689,ramah,3
690,Malah,3
691,datang,3
692,Mungkin,3
693,rejeki,3
694,gojek,3
695,hijab,2
696,balikan,2
697,ditinggal,2
698,Kmrn,2
699,kya,2
700,abege,2
701,ato,2
702,top,2
703,Itu,2
704,seseorang,2
705,boleh,2
706,haters,2
707,permpuan,2
708,ja,2
709,tinggalin,2
710,mikir,2
711,ngurus,2
712,nyampah,2
713,caption,2
714,heboh,2
715,asik,2
716,ketika,2
717,koin,2
718,ngamuk,2
719,smua,2
720,mati2an,2
721,rakyat,2
722,sopan,2
723,murahan,2
724,berkelas,2
725,etika,2
726,ancur,2
727,merdu,2
728,tukang,2
729,5,2
730,syarat,2
731,pernikahan,2
732,tersebut,2
733,maka,2
734,pernikahannya,2
735,gatau,2
736,ngerebut,2
737,abang,2
738,jeleknya,2
739,Bego,2
740,alim,2
741,masalah,2
742,disini,2
743,mgkn,2
744,Mereka,2
745,berteman,2
746,bibir,2
747,musuh,2
748,jaga,2
749,ucapan,2
750,lahh,2
751,kelebihan,2
752,upil,2
753,mencerminkan,2
754,sebenarnya,2
755,Kesian,2
756,jual,2
757,taik,2
758,nyari,2
759,uang,2
760,anjir,2
761,Dlu,2
762,goyang,2
763,dada,2
764,moral,2
765,dangdut,2
766,nonjolin,2
767,Najis,2
